image_path,gt_bucket,n_visible_fruitbodies,n_boxes_ok,n_fn_missed,n_fp_extra,notes
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389858988_714167697.jpg,INEDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390339958_715100499.jpg,TOXIC,1,1,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382067016_699158011.jpg,INEDIBLE,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390964717_716324850.jpg,EDIBLE,11,11,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\349140322_636859748.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\274603245_493632222.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\193789982_340471128.jpg,TOXIC,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\146359594_251608656.jpg,TOXIC,2,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390115764_714667434.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\123306797_208875122.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389732566_713920226.jpg,EDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\158756536_274322549.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\369740103_675403422.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\176319982_306526654.jpg,TOXIC,1,1,0,0,
